record_id,split
HA-00001,fit
HA-00002,test
HA-00003,test
HA-00004,fit
HA-00005,test
HA-00006,test
HA-00007,fit
HA-00008,test
HA-00009,fit
HA-00010,fit
HA-00011,fit
HA-00012,fit
HA-00013,fit
HA-00014,test
HA-00015,test
HA-00016,test
HA-00017,test
HA-00018,test
HA-00019,fit
HA-00020,val
HA-00021,fit
HA-00022,val
HA-00023,test
HA-00024,test
HA-00025,test
HA-00026,val
HA-00027,fit
HA-00028,fit
HA-00029,test
HA-00030,fit
HA-00031,val
HA-00032,test
HA-00033,fit
HA-00034,test
HA-00035,fit
HA-00036,test
HA-00037,test
HA-00038,val
HA-00039,fit
HA-00040,test
HA-00041,val
HA-00042,fit
HA-00043,test
HA-00044,val
HA-00045,test
HA-00046,test
HA-00047,test
HA-00048,fit
HA-00049,val
HA-00050,test
HA-00051,test
HA-00052,fit
HA-00053,test
HA-00054,fit
HA-00055,test
HA-00056,fit
HA-00057,val
HA-00058,fit
HA-00059,test
HA-00060,test
HA-00061,test
HA-00062,fit
HA-00063,fit
HA-00064,test
HA-00065,test
HA-00066,test
HA-00067,fit
HA-00068,test
HA-00069,fit
HA-00070,fit
HA-00071,test
HA-00072,test
HA-00073,test
HA-00074,fit
HA-00075,fit
HA-00076,fit
HA-00077,val
HA-00078,fit
HA-00079,fit
HA-00080,fit
HA-00081,test
HA-00082,test
HA-00083,test
HA-00084,test
HA-00085,fit
HA-00086,test
HA-00087,test
HA-00088,val
HA-00089,val
HA-00090,test
HA-00091,test
HA-00092,test
HA-00093,test
HA-00094,fit
HA-00095,test
HA-00096,test
HA-00097,test
HA-00098,test
HA-00099,test
HA-00100,val
HA-00101,val
HA-00102,fit
HA-00103,test
HA-00104,test
HA-00105,val
HA-00106,test
HA-00107,test
HA-00108,test
HA-00109,fit
HA-00110,fit
HA-00111,fit
HA-00112,fit
HA-00113,fit
HA-00114,test
HA-00115,test
HA-00116,val
HA-00117,test
HA-00118,test
HA-00119,val
HA-00120,test
HA-00121,test
HA-00122,test
HA-00123,test
HA-00124,test
HA-00125,fit
HA-00126,val
HA-00127,test
HA-00128,test
HA-00129,test
HA-00130,fit
HA-00131,val
HA-00132,fit
HA-00133,fit
HA-00134,test
HA-00135,fit
HA-00136,fit
HA-00137,test
HA-00138,test
HA-00139,fit
HA-00140,fit
HA-00141,fit
HA-00142,val
HA-00143,fit
HA-00144,test
HA-00145,fit
HA-00146,fit
HA-00147,test
HA-00148,val
HA-00149,test
HA-00150,fit
HA-00151,fit
HA-00152,test
HA-00153,fit
HA-00154,test
HA-00155,test
HA-00156,fit
HA-00157,test
HA-00158,val
HA-00159,test
HA-00160,test
HA-00161,val
HA-00162,test
HA-00163,fit
HA-00164,test
HA-00165,fit
HA-00166,fit
HA-00167,test
HA-00168,fit
HA-00169,fit
HA-00170,test
