target,attack,threat_model,auc_mean,auc_std,tpr_001_mean,tpr_001_std,tpr_01_mean,tpr_01_std,empirical_epsilon_mean,empirical_epsilon_std,n_seeds
DP eps=0.5,class_calibrated_loss,label_aware,0.5063916435185186,0.005358748965223728,0.0020833333333333333,0.0019094065395649333,0.009027777777777734,0.0026787918780536053,0.0,0.0,3
DP eps=0.5,confidence,label_agnostic,0.5016471527777777,0.007551345378696271,0.0009722222222221666,0.0006364688465216408,0.012361111111111066,0.0030142408908626086,0.0,0.0,3
DP eps=0.5,learned_ensemble,label_aware,0.49238430555555546,0.016550814772467386,0.0022222222222222,0.0022948210613691934,0.0095833333333333,0.003974746672570626,0.0,0.0,3
DP eps=0.5,modified_entropy,label_aware,0.5022310185185185,0.003402139527255065,0.0009722222222221666,0.0006364688465216408,0.012777777777777735,0.0030712978315967014,0.0,0.0,3
DP eps=0.5,neg_entropy,label_agnostic,0.5016471527777777,0.007551345378696271,0.0009722222222221666,0.0006364688465216408,0.012361111111111066,0.0030142408908626086,0.0,0.0,3
DP eps=0.5,yeom_neg_loss,label_aware,0.5022311342592592,0.0034023896294591194,0.0009722222222221666,0.0006364688465216408,0.012777777777777735,0.0030712978315967014,0.0,0.0,3
DP eps=1,class_calibrated_loss,label_aware,0.5059975,0.006742810913931011,0.0018055555555555334,0.0016839382851363907,0.010416666666666635,0.0018162078931419781,0.0,0.0,3
DP eps=1,confidence,label_agnostic,0.5022304629629629,0.007948596925324375,0.0015277777777777332,0.0010485881160098571,0.012222222222222167,0.003367876570272798,0.0,0.0,3
DP eps=1,learned_ensemble,label_aware,0.4935273842592593,0.012010874920856337,0.0013888888888888334,0.0013393959390267925,0.0106944444444444,0.0010485881160098116,0.0,0.0,3
DP eps=1,modified_entropy,label_aware,0.5029276388888889,0.0037795346302957043,0.0015277777777777332,0.0010485881160098571,0.011666666666666633,0.003632415786283864,0.0,0.0,3
DP eps=1,neg_entropy,label_agnostic,0.5022304629629629,0.007948596925324375,0.0015277777777777332,0.0010485881160098571,0.012222222222222167,0.003367876570272798,0.0,0.0,3
DP eps=1,yeom_neg_loss,label_aware,0.5029277777777778,0.0037796035805721362,0.0015277777777777332,0.0010485881160098571,0.011666666666666633,0.003632415786283864,0.0,0.0,3
DP eps=3,class_calibrated_loss,label_aware,0.5057943055555556,0.0067869960255711875,0.0013888888888888334,0.0004811252243246688,0.011111111111111066,0.003182344232608226,0.0,0.0,3
DP eps=3,confidence,label_agnostic,0.5034952314814816,0.006606181367440345,0.0013888888888888334,0.0008673608331109018,0.011666666666666633,0.002204792759220516,0.0,0.0,3
DP eps=3,learned_ensemble,label_aware,0.5025577083333334,0.015519808843425242,0.0009722222222222,0.0008673608331108619,0.0072222222222222,0.0013393959390268135,0.006212643249877099,0.010760613758086965,3
DP eps=3,modified_entropy,label_aware,0.5045080555555556,0.004448317750153085,0.0013888888888888334,0.0008673608331109018,0.0111111111111111,0.0020553678592984286,0.0,0.0,3
DP eps=3,neg_entropy,label_agnostic,0.5034952314814816,0.006606181367440345,0.0013888888888888334,0.0008673608331109018,0.011666666666666633,0.002204792759220516,0.0,0.0,3
DP eps=3,yeom_neg_loss,label_aware,0.5045083564814815,0.00444795365168796,0.0013888888888888334,0.0008673608331109018,0.0111111111111111,0.0020553678592984286,0.0,0.0,3
DP eps=8,class_calibrated_loss,label_aware,0.5066694444444445,0.00636547622889002,0.0026388888888888664,0.0014632852434517344,0.011111111111111066,0.0030142408908626094,0.0,0.0,3
DP eps=8,confidence,label_agnostic,0.5022281944444443,0.006123587824182068,0.0018055555555555334,0.0006364688465216518,0.0131944444444444,0.0016839382851364438,0.0,0.0,3
DP eps=8,learned_ensemble,label_aware,0.496461412037037,0.006431915894456847,0.0002777777777777333,0.0002405626121623056,0.009722222222222167,0.0009622504486493949,0.0,0.0,3
DP eps=8,modified_entropy,label_aware,0.5048660416666666,0.005035921694283665,0.0018055555555555334,0.0006364688465216518,0.012638888888888833,0.0016839382851363911,0.0,0.0,3
DP eps=8,neg_entropy,label_agnostic,0.5022281944444443,0.006123587824182068,0.0018055555555555334,0.0006364688465216518,0.0131944444444444,0.0016839382851364438,0.0,0.0,3
DP eps=8,yeom_neg_loss,label_aware,0.5048656018518518,0.005036383967303691,0.0018055555555555334,0.0006364688465216518,0.012638888888888833,0.0016839382851363911,0.0,0.0,3
Non-private (overfit),class_calibrated_loss,label_aware,0.5855679166666666,0.0013791052475274712,0.0013888888888888666,0.002405626121623402,0.0111111111111111,0.0010485881160098112,2.3556917954743612,0.6292446906510766,3
Non-private (overfit),confidence,label_agnostic,0.4972746759259259,0.008549403999394141,0.0004166666666666667,0.0007216878364870322,0.0068055555555555335,0.005897464929322798,0.0148885095521006,0.025787654993212786,3
Non-private (overfit),learned_ensemble,label_aware,0.5827847222222222,0.0035287925077141877,0.0013888888888888666,0.0009622504486493956,0.010694444444444432,0.0009622504486493949,1.8361600979418908,0.4625177071996942,3
Non-private (overfit),lira,label_aware,0.5848222222222222,0.003486088642579213,0.0018055555555555334,0.0008673608331109022,0.018888888888888834,0.0013393959390267923,0.9055687550005108,0.20450723606202445,3
Non-private (overfit),modified_entropy,label_aware,0.5769444675925927,0.00568562760113732,0.0004166666666666667,0.0007216878364870322,0.007638888888888866,0.006696979695133983,2.42042168092737,0.5011298787542345,3
Non-private (overfit),neg_entropy,label_agnostic,0.4972746759259259,0.008549403999394141,0.0004166666666666667,0.0007216878364870322,0.0068055555555555335,0.005897464929322798,0.0148885095521006,0.025787654993212786,3
Non-private (overfit),yeom_neg_loss,label_aware,0.5769410648148149,0.005685200017134411,0.0009722222222222,0.001048588116009811,0.010416666666666635,0.0020833333333333502,2.42042168092737,0.5011298787542345,3
Non-private (tuned),class_calibrated_loss,label_aware,0.5072412037037037,0.005703118820533306,0.0022222222222222,0.0004811252243247267,0.011666666666666667,0.0031457643480294786,0.047782170528168695,0.0827611470507084,3
