target,attack,threat_model,auc,auc_lo,auc_hi,balanced_accuracy_optimistic,empirical_epsilon,n_eval,fpr_resolution_floor,tpr_at_fpr_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.1,tpr_at_fpr_0.01_lo,tpr_at_fpr_0.01_hi,seed,target_test_auc,theoretical_epsilon,bayes_ceiling
Non-private (overfit),confidence,label_agnostic,0.5068409722222222,0.48994136458333326,0.5217606163194444,0.5149583333333334,0.0,5400,0.0003333333333333333,0.0,0.01,0.11625,0.0,0.018343749999999992,0,0.7180486194546913,inf,0.7786891358862815
Non-private (overfit),neg_entropy,label_agnostic,0.5068409722222222,0.4925100607638889,0.5222939461805556,0.5149583333333334,0.0,5400,0.0003333333333333333,0.0,0.01,0.11625,0.0,0.019166666666666665,0,0.7180486194546913,inf,0.7786891358862815
Non-private (overfit),yeom_neg_loss,label_aware,0.5765466666666667,0.5608496909722223,0.5929743819444444,0.5657916666666667,1.8948106971710457,5400,0.0003333333333333333,0.0,0.0125,0.13875,0.005416666666666667,0.02459374999999999,0,0.7180486194546913,inf,0.7786891358862815
Non-private (overfit),modified_entropy,label_aware,0.5765552083333334,0.5611459236111112,0.5900450295138888,0.5657916666666667,1.8948106971710457,5400,0.0003333333333333333,0.0,0.0125,0.13875,0.0,0.025427083333333326,0,0.7180486194546913,inf,0.7786891358862815
Non-private (overfit),class_calibrated_loss,label_aware,0.5858457638888889,0.57266221875,0.6016200347222223,0.5664583333333333,1.6818261711067417,5400,0.0003333333333333333,0.0,0.012083333333333333,0.15583333333333332,0.005,0.018354166666666647,0,0.7180486194546913,inf,0.7786891358862815
Non-private (overfit),learned_ensemble,label_aware,0.5863234722222221,0.5709708697916667,0.6012527291666666,0.5642083333333333,1.3382419232425729,5400,0.0003333333333333333,0.0025,0.009583333333333333,0.13875,0.004166666666666667,0.019166666666666665,0,0.7180486194546913,inf,0.7786891358862815
Non-private (overfit),lira,label_aware,0.58114125,0.5680168020833333,0.5947590381944444,0.564375,0.6896438570978672,5400,0.0003333333333333333,0.0020833333333333333,0.018333333333333333,0.15875,0.01,0.027916666666666666,0,0.7180486194546913,inf,0.7786891358862815
Non-private (tuned),confidence,label_agnostic,0.4968522222222222,0.48298123958333333,0.5115324305555554,0.5088333333333332,0.0,5400,0.0003333333333333333,0.0016666666666666668,0.014583333333333334,0.11333333333333333,0.0075,0.0225,0,0.7667141371064015,inf,0.7786891358862815
Non-private (tuned),neg_entropy,label_agnostic,0.4968522222222222,0.4824457916666666,0.5130803020833333,0.5088333333333332,0.0,5400,0.0003333333333333333,0.0016666666666666668,0.014583333333333334,0.11333333333333333,0.0075,0.02375,0,0.7667141371064015,inf,0.7786891358862815
Non-private (tuned),yeom_neg_loss,label_aware,0.5084647916666666,0.4944955069444444,0.5232839635416667,0.51075,0.0,5400,0.0003333333333333333,0.0016666666666666668,0.015,0.11708333333333333,0.008333333333333333,0.022927083333333324,0,0.7667141371064015,inf,0.7786891358862815
